Contributor,Coverage,Creator,Date,Description,Director,Duration,Language,Local URL,Original Format,Producer,Publisher,Relation,Rights,Source,Subject,Text,Title,Transcription,Type,URL,added,collection_id,collection_resource,collection_url,featured,files_count,files_resource,files_url,id,item_type_id,item_type_name,item_type_resource,item_type_url,modified,owner_id,owner_resource,owner_url,public,tags,url
July 2008, Eremo, Italy ",<em>Guerrilla Open Access Manifesto</em>,,Manifesto,"<a href=""https://archive.org/stream/GuerillaOpenAccessManifesto/Goamjuly2008_djvu.txt"">https://archive.org/stream/GuerillaOpenAccessManifesto/Goamjuly2008_djvu.txt</a>",2014-06-01T20:27:00+00:00,1,collections,http://digitalmanifesto.omeka.net/api/collections/1,,1,files,http://digitalmanifesto.omeka.net/api/files?item=1,1,1,Document,item_types,http://digitalmanifesto.omeka.net/api/item_types/1,2014-10-25T21:25:04+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,"Aaron Swartz, SOPA",http://digitalmanifesto.omeka.net/api/items/1
,Global,Anonymous,"February 25th, 2013",This manifesto features a figure from Anonymous reading at a news desk with Aaron Swartz's <em>Guerrilla Open Access Manifesto</em> overlaid through an online voice generator. It is a tribute to Swartz and the open access movement.,,,EN,,,,,,,"<span><a href=""https://www.youtube.com/watch?v=v92ycAcOndg""><span>https://www.youtube.com/watch?v=v92ycAcOndg</span></a></span>","Anonymous, Open Access, Aaron Swartz",,Anonymous' Tribute to the <em>Guerrilla Open Access Manifesto</em>,,Manifesto,,2014-06-01T23:15:32+00:00,1,collections,http://digitalmanifesto.omeka.net/api/collections/1,,1,files,http://digitalmanifesto.omeka.net/api/files?item=2,2,3,Moving Image,item_types,http://digitalmanifesto.omeka.net/api/item_types/3,2014-10-25T21:24:56+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,"Aaron Swartz, Anonymous, SOPA",http://digitalmanifesto.omeka.net/api/items/2
,Global,,January 2011,This manifesto is comprised of excerpts from <em>The Consciousness of a Hacker</em> manifesto. It is mobilized here as a response to PIPA and SOPA.,,,EN,,,,,,,"<span><a href=""http://forum.xda-developers.com/showthread.php?t=1454814""><span>http://forum.xda-developers.com/showthread.php?t=1454814</span></a></span>","PIPA, SOPA, The Consciousness of a Hacker","SOPA / PIPA - Hacker Manifesto
This is our world now... the world of the electron and the switch, the
beauty of the baud. We make use of a service already existing without paying
for what could be dirt-cheap if it wasn't run by profiteering gluttons, and
you call us criminals. We explore... and you call us criminals. We seek
after knowledge... and you call us criminals. We exist without skin color,
without nationality, without religious bias... and you call us criminals.
You build atomic bombs, you wage wars, you murder, cheat, and lie to us
and try to make us believe it's for our own good, yet we're the criminals.
Yes, I am a criminal. My crime is that of curiosity. My crime is
that of judging people by what they say and think, not what they look like.
My crime is that of outsmarting you, something that you will never forgive me
for. I am a hacker, and this is my manifesto. You may stop this individual,
but you can't stop us all... after all, we're all alike.",<em>SOPA/PIPA Hacker Manifesto</em>,,Manifesto,,2014-06-01T23:20:25+00:00,1,collections,http://digitalmanifesto.omeka.net/api/collections/1,,1,files,http://digitalmanifesto.omeka.net/api/files?item=3,3,1,Document,item_types,http://digitalmanifesto.omeka.net/api/item_types/1,2014-10-25T21:24:44+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,SOPA,http://digitalmanifesto.omeka.net/api/items/3
,USA,Xeno Phrenia,"January 14, 2012","The author of <em>The Manifesto</em> argues for the dissolution of PIPA and SOPA while also advocating for the creation of more politically oriented Internet communities. In contrast to groups like Anonymous, the author of <em>The Manifesto</em> claims to resist Internet foreclosure within the boundaries of the law.",,,EN,,,,,,,"<span><a href=""https://plus.google.com/+XenoPhrenia/posts/hrGz9QmwUFb""><span>https://plus.google.com/+XenoPhrenia/posts/hrGz9QmwUFb</span></a></span>","PIPA, SOPA, Internet Freedom","The Manifesto...

We've tried to ignore the problem... I tried to ignore the problem. I wanted to ignore the politics of the internet and, in many ways, politics itself. From a netizen point of view, Democracy often seems inefficient and ineffectual. But just because WE want to ignore it, doesn't mean politics wants to ignore us.

There are many groups who would subjugate us if they could. They would force us to pay every time we heard a song on the car radio, they would make sure we can't speak freely about their brand or their brand of government, they would exert complete control over our online existence.

As Netizens, we naively think that calmer heads will prevail and this has often been the case... but laws like SOPA and PIPA, which could potentially make the Patriot Act look tame if used to their fullest extent... continue to be paid for by big industry and pushed through congress. These acts are not just bad, they are unAmerican and more akin to something we would see in China or Iran... not here.

How does this happen? It's simple enough, Congressmen are paid to make laws that would oppress us. In the emerging world, this would be called ""Corruption""... here it's called ""Contribution"". It's easy. These laws are complicated and their most of their constituents don't even know that their congressmen are involved or how these laws would affect them. The industries behind these laws are wealthy and spend lavishly on representatives willing to support them. Most importantly... there is little to no political pain for these representatives. They fill their campaign coffers with cash... if the bill fails, they keep the cash and it's quickly forgotten. If the bill passes, they'll get more money next year. 

This needs to stop.

We can no longer expect our representatives, many of whom couldn't write an email on their own, to represent us without firm action. We can no longer depend on OUR means of discussion - Facebook, Twitter, and Email -l to express ourselves.

We need to fight these laws, and the lawmakers that would pass them, in their back yard. We need to earn their respect, and fear if necessary. We need them to know that supporting these bills has a political cost.

We need a sort of ""Internet Protection Fund"", a PAC, that is designed for a single purpose - To use every legal means to attack those who would attack us. To bring the fight to to their doorstep, their airwaves, and their TVs. We need to organize and focus the resistance. 

Step 1 - Stop the SOPA and PIPA before they are passed through targeted boycotts, information campaigns, and letter writing campaigns.

Step 2 - Target those in Congress who support these bills and attempt to unseat them in the fall with internet, grassroots, TV and Radio campaigns. Congress needs to know that supporting these bills is no longer a blank check...it's no longer safe.

Step 3 - We need to build our organization BETWEEN elections, build its resources, and build its capacity to defend our rights... aggressively. This fight is about to intensify as the information age matures. We need to begin to take an active role in shaping our online future.

This is not a replacement for organizations like the Electronic Freedom Foundation... without whom we will be already be in virtual chains. This is the sharp end of the stick that comes when they are not able to negotiate our freedom. These are the troops that back up the political discussions with real, tangible, action. 

This is not a replacement for Anonymous. They play harder than we will. We will keep our fight within the confines of the current laws. We will use every means within those laws to express the will of those we represent but we will stay well within the confines of the current rules. 

We will play by the political rules that our opponents play by... not the ones we wish they would play. We will use our skills, connections and ability to organize online but we will bring this fight to their field and beat them there.

So now what do we do? 

Step one: +1 this post and pass it on. If there is enough interest, the next steps will be somewhat obvious (begin the organization structure). Comment and let me know what you think and what you would do next. If there is enough interest... more posts will follow.﻿",<em>The Manifesto</em>,,,,2014-06-01T23:23:28+00:00,1,collections,http://digitalmanifesto.omeka.net/api/collections/1,,1,files,http://digitalmanifesto.omeka.net/api/files?item=4,4,1,Document,item_types,http://digitalmanifesto.omeka.net/api/item_types/1,2014-10-25T21:24:37+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,SOPA,http://digitalmanifesto.omeka.net/api/items/4
,USA,Clay Shirky,"January 18, 2012","Clay Shirky's TED talk offers an overview of copyright issues and technologies that prefigure contemporary debates concerning SOPA, PIPA, and Net Neutrality. Shirky also offers legal responses to these acts of censorship.",,14:00,EN,,,,Ted.com,,,"<a href=""https://www.youtube.com/watch?v=9h2dF-IsH0I"">https://www.youtube.com/watch?v=9h2dF-IsH0I</a>","Open Access, SOPA/PIPA, Copyright",,<em>SOPA/PIPA Manifesto (TED Talk)</em>,,,,2014-06-02T15:37:46+00:00,1,collections,http://digitalmanifesto.omeka.net/api/collections/1,,1,files,http://digitalmanifesto.omeka.net/api/files?item=5,5,3,Moving Image,item_types,http://digitalmanifesto.omeka.net/api/item_types/3,2014-10-25T21:24:29+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,"PIPA, SOPA",http://digitalmanifesto.omeka.net/api/items/5
,Global,The Mentor,"January 8, 1986","Written in 1986, <em>The Consciousness of a Hacker</em> is now a cornerstone of hacking culture. The manifesto declares the formation of a new, technologized world, and therefore the formation of a new subject within it.",,,EN,,,,Phrack Magazine,,,"<span><a href=""http://phrack.org/issues/7/3.html""><span>http://phrack.org/issues/7/3.html</span></a></span>","Hacking, The Psychology of a Hacker, the Hacker Ethos"," ==Phrack Inc.==

                    Volume One, Issue 7, Phile 3 of 10

=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
The following was written shortly after my arrest...

                       \/\The Conscience of a Hacker/\/

                                      by

                               +++The Mentor+++

                          Written on January 8, 1986
=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=

        Another one got caught today, it's all over the papers.  ""Teenager
Arrested in Computer Crime Scandal"", ""Hacker Arrested after Bank Tampering""...
        Damn kids.  They're all alike.

        But did you, in your three-piece psychology and 1950's technobrain,
ever take a look behind the eyes of the hacker?  Did you ever wonder what
made him tick, what forces shaped him, what may have molded him?
        I am a hacker, enter my world...
        Mine is a world that begins with school... I'm smarter than most of
the other kids, this crap they teach us bores me...
        Damn underachiever.  They're all alike.

        I'm in junior high or high school.  I've listened to teachers explain
for the fifteenth time how to reduce a fraction.  I understand it.  ""No, Ms.
Smith, I didn't show my work.  I did it in my head...""
        Damn kid.  Probably copied it.  They're all alike.

        I made a discovery today.  I found a computer.  Wait a second, this is
cool.  It does what I want it to.  If it makes a mistake, it's because I
screwed it up.  Not because it doesn't like me...
                Or feels threatened by me...
                Or thinks I'm a smart ass...
                Or doesn't like teaching and shouldn't be here...
        Damn kid.  All he does is play games.  They're all alike.

        And then it happened... a door opened to a world... rushing through
the phone line like heroin through an addict's veins, an electronic pulse is
sent out, a refuge from the day-to-day incompetencies is sought... a board is
found.
        ""This is it... this is where I belong...""
        I know everyone here... even if I've never met them, never talked to
them, may never hear from them again... I know you all...
        Damn kid.  Tying up the phone line again.  They're all alike...

        You bet your ass we're all alike... we've been spoon-fed baby food at
school when we hungered for steak... the bits of meat that you did let slip
through were pre-chewed and tasteless.  We've been dominated by sadists, or
ignored by the apathetic.  The few that had something to teach found us will-
ing pupils, but those few are like drops of water in the desert.

        This is our world now... the world of the electron and the switch, the
beauty of the baud.  We make use of a service already existing without paying
for what could be dirt-cheap if it wasn't run by profiteering gluttons, and
you call us criminals.  We explore... and you call us criminals.  We seek
after knowledge... and you call us criminals.  We exist without skin color,
without nationality, without religious bias... and you call us criminals.
You build atomic bombs, you wage wars, you murder, cheat, and lie to us
and try to make us believe it's for our own good, yet we're the criminals.

        Yes, I am a criminal.  My crime is that of curiosity.  My crime is
that of judging people by what they say and think, not what they look like.
My crime is that of outsmarting you, something that you will never forgive me
for.

        I am a hacker, and this is my manifesto.  You may stop this individual,
but you can't stop us all... after all, we're all alike.

                               +++The Mentor+++",<em>The Consciousness of a Hacker</em>,,Manifesto,,2014-06-02T15:42:04+00:00,4,collections,http://digitalmanifesto.omeka.net/api/collections/4,,1,files,http://digitalmanifesto.omeka.net/api/files?item=6,6,1,Document,item_types,http://digitalmanifesto.omeka.net/api/item_types/1,2014-10-25T21:24:18+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,"Anarchism, Hacking",http://digitalmanifesto.omeka.net/api/items/6
,Global,Timothy C. May,"November 22, 1992","In his <em>The Crypto Anarchist Manifesto</em>, Timothy C. May envisions a totally anonymous and decentralized Internet. Opposed to both the state and capital's hegemony over digital space, May calls for the appearance of the crypto anarchist--the anonymous and collective figure of the Internet revolution.",,,EN,,,,http://www.activism.net,,,"<span><a href=""http://www.activism.net/cypherpunk/crypto-anarchy.html""><span>http://www.activism.net/cypherpunk/crypto-anarchy.html</span></a></span>","Hacking, Open Access, Cryptograpy","From: tcmay@netcom.com (Timothy C. May)
Subject: The Crypto Anarchist Manifesto
Date: Sun, 22 Nov 92 12:11:24 PST
Cypherpunks of the World,
Several of you at the ""physical Cypherpunks"" gathering yesterday in Silicon Valley requested that more of the material passed out in meetings be available electronically to the entire readership of the Cypherpunks list, spooks, eavesdroppers, and all. <Gulp>

Here's the ""Crypto Anarchist Manifesto"" I read at the September 1992 founding meeting. It dates back to mid-1988 and was distributed to some like-minded techno-anarchists at the ""Crypto '88"" conference and then again at the ""Hackers Conference"" that year. I later gave talks at Hackers on this in 1989 and 1990.

There are a few things I'd change, but for historical reasons I'll just leave it as is. Some of the terms may be unfamiliar to you...I hope the Crypto Glossary I just distributed will help.

(This should explain all those cryptic terms in my .signature!)

--Tim May

...................................................

The Crypto Anarchist Manifesto

Timothy C. May <tcmay@netcom.com>
A specter is haunting the modern world, the specter of crypto anarchy.

Computer technology is on the verge of providing the ability for individuals and groups to communicate and interact with each other in a totally anonymous manner. Two persons may exchange messages, conduct business, and negotiate electronic contracts without ever knowing the True Name, or legal identity, of the other. Interactions over networks will be untraceable, via extensive re- routing of encrypted packets and tamper-proof boxes which implement cryptographic protocols with nearly perfect assurance against any tampering. Reputations will be of central importance, far more important in dealings than even the credit ratings of today. These developments will alter completely the nature of government regulation, the ability to tax and control economic interactions, the ability to keep information secret, and will even alter the nature of trust and reputation.

The technology for this revolution--and it surely will be both a social and economic revolution--has existed in theory for the past decade. The methods are based upon public-key encryption, zero-knowledge interactive proof systems, and various software protocols for interaction, authentication, and verification. The focus has until now been on academic conferences in Europe and the U.S., conferences monitored closely by the National Security Agency. But only recently have computer networks and personal computers attained sufficient speed to make the ideas practically realizable. And the next ten years will bring enough additional speed to make the ideas economically feasible and essentially unstoppable. High-speed networks, ISDN, tamper-proof boxes, smart cards, satellites, Ku-band transmitters, multi-MIPS personal computers, and encryption chips now under development will be some of the enabling technologies.

The State will of course try to slow or halt the spread of this technology, citing national security concerns, use of the technology by drug dealers and tax evaders, and fears of societal disintegration. Many of these concerns will be valid; crypto anarchy will allow national secrets to be trade freely and will allow illicit and stolen materials to be traded. An anonymous computerized market will even make possible abhorrent markets for assassinations and extortion. Various criminal and foreign elements will be active users of CryptoNet. But this will not halt the spread of crypto anarchy.

Just as the technology of printing altered and reduced the power of medieval guilds and the social power structure, so too will cryptologic methods fundamentally alter the nature of corporations and of government interference in economic transactions. Combined with emerging information markets, crypto anarchy will create a liquid market for any and all material which can be put into words and pictures. And just as a seemingly minor invention like barbed wire made possible the fencing-off of vast ranches and farms, thus altering forever the concepts of land and property rights in the frontier West, so too will the seemingly minor discovery out of an arcane branch of mathematics come to be the wire clippers which dismantle the barbed wire around intellectual property.

Arise, you have nothing to lose but your barbed wire fences!
",<em>The Crypto Anarchist Manifesto</em>,,Manifesto,,2014-06-02T15:45:31+00:00,4,collections,http://digitalmanifesto.omeka.net/api/collections/4,,1,files,http://digitalmanifesto.omeka.net/api/files?item=7,7,1,Document,item_types,http://digitalmanifesto.omeka.net/api/item_types/1,2014-10-25T21:24:02+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,"Anarchism, Cryptography, Hacking",http://digitalmanifesto.omeka.net/api/items/7
,Global,McKenzie Wark,,"This is an amended version of McKenzie Wark's 2004 <em>A Hacker Manifesto</em>. In addition providing a new vocabulary for understanding capitalist accumulation and exploitation in digital environments, Wark's manifesto defines hacking as a productive process: a process of bringing the virtual into the real.",,,EN,,,,,,,"<span><a href=""http://subsol.c3.hu/subsol_2/contributors0/warktext.html""><span>http://subsol.c3.hu/subsol_2/contributors0/warktext.html</span></a></span>","Hacking, Open Access","A HACKER MANIFESTO [version 4.0]

McKenzie Wark

Manifestation

01. There is a double spooking the world, the double of abstraction. The fortunes of states and armies, companies and communities depend on it. All contending classes - the landlords and farmers, the workers and capitalists - revere yet fear the relentless abstraction of the world on which their fortunes yet depend. All the classes but one. The hacker class.

02. Whatever code we hack, be it programming language, poetic language, math or music, curves or colourings, we create the possibility of new things entering the world. Not always great things, or even good things, but new things. In art, in science, in philosophy and culture, in any production of knowledge where data can be gathered, where information can be extracted from it, and where in that information new possibilities for the world are produced, there are hackers hacking the new out of the old. While hackers create these new worlds, we do not possess them. That which we create is mortgaged to others, and to the interests of others, to states and corporations who control the means for making worlds we alone discover. We do not own what we produce - it owns us.

03. And yet we don't quite know who we are. While we recognise our distinctive existence as a group, as programmers, as artists or writers or scientists or musicians, we rarely see these ways of representing ourselves as mere fragments of a class experience that is still struggling to express itself as itself, as expressions of the process of producing abstraction in the world. Geeks and freaks become what they are negatively, through their exclusion by others. Hackers are a class, but an abstract class, a class as yet to hack itself into manifest existence as itself.

Abstraction

04. Abstraction may be discovered or produced, may be material or immaterial, but abstraction is what every hack produces and affirms. To abstract is to construct a plane upon which otherwise different and unrelated matters may be brought into many possible relations. It is through the abstract that the virtual is identified, produced and released. The virtual is not just the potential latent in matters, it is the potential of potential. To hack is to produce or apply the abstract to information and express the possibility of new worlds.

05. All abstractions are abstractions of nature. To abstract is to express the virtuality of nature, to make known some instance of its manifold possibilities, to actualise a relation out of infinite relationality. Abstractions release the potential of physical matter. And yet abstraction relies on something that has an independent existence to physical matter -- information. Information is no less real than physical matter, and is dependent on it for its existence. Since information cannot exist in a pure, immaterial form, neither can the hacker class. Of necessity it must deal with a ruling class that owns the material means of extracting or distributing information, or with a producing class that extracts and distributes. The class interest of hackers lies in freeing information from its material constraints.

06. As the abstraction of private property was extended to information, it produced the hacker class as a class. Hackers must sell their capacity for abstraction to a class that owns the means of production, the vectoralist class - the emergent ruling class of our time. The vectorialist class is waging an intensive struggle to dispossess hackers of their intellectual property. Patents and copyrights all end up in the hands, not of their creators, but of the vectoralist class that owns the means of realising the value of these abstractions. The vectoralist class struggles to monopolise abstraction. Hackers find themselves dispossessed both individually, and as a class. Hackers come piecemeal to struggle against the particular forms in which abstraction is commodified and made into the private property of the vectoralist class. Hackers come to struggle collectively against the usurious charges the vectoralists extort for access to the information that hackers collectively produce, but that vectoralists collectively come to own. Hackers come as a class to recognise their class interest is best expressed through the struggle to free the production of abstraction not just from the particular fetters of this or that form of property, but to abstract the form of property itself.

07. What makes our times different is that what now appears on the horizon is the possibility of a society finally set free from necessity, both real and imagined, by an explosion in abstract innovations. Abstraction with the potential once and for all to break the shackles holding hacking fast to outdated and regressive class interests. The time is past due when hackers must come together with all of the producing classes of the world - to liberate productive and inventive resources from the myth of scarcity. ""The world already possesses the dream of a time whose consciousness it must now possess in order to actually live it.""

Production

08. Production produces all things, and all producers of things. Production produces not only the object of the production process, but also the producer as subject. Hacking is the production of production. The hack produces a production of a new kind, which has as its result a singular and unique product, and a singular and unique producer. Every hacker is at one and the same time producer and product of the hack, and emerges in its singularity as the memory of the hack as process.

09. Production takes place on the basis of a prior hack which gives to production its formal, social, repeatable and reproducible form. Every production is a hack formalised and repeated on the basis of its representation. To produce is to repeat; to hack, to differentiate.

10. The hack produces both a useful and a useless surplus, although the usefulness of any surplus is socially and historically determined. The useful surplus goes into expanding the realm of freedom wrested from necessity. The useless surplus is the surplus of freedom itself, the margin of free production unconstrained by production for necessity.

11. The production of a surplus creates the possibility of the expansion of freedom from necessity. But in class society, the production of a surplus also creates new necessities. Class domination takes the form of the capture of the productive potential of society and its harnessing to the production, not of liberty, but of class domination itself. The ruling class subordinates the hack to the production of forms of production that may be harnessed to the enhancement of class power, and the suppression or marginalisation of other forms of hacking. What the producing classes - farmers, workers and hackers - have in common is an interest in freeing production from its subordination to ruling classes who turn production into the production of new necessities, who wrest slavery from surplus. The elements of a free productivity exist already in an atomised form, in the productive classes. What remains is the release of its virtuality.

Class

12. The class struggle, in its endless setbacks, reversals and compromises returns again and again to the unanswered question - property - and the contending classes return again and again with new answers. The working class questioned the necessity of private property, and the communist party arose, claiming to answer the desires of the working class. The answer, expressed in the Communist Manifesto was to ""centralise all instruments of production in the hands of the state."" But making the state the monopolist of property has only produced a new ruling class, and a new and more brutal class struggle. But perhaps this was not the final answer, and the course of the class struggle is not yet over. Perhaps there is another class that can pose the property question in a new way - and offer new answers to breaking the monopoly of the ruling classes on property.

13. There is a class dynamic driving each stage of the development of the vectoral world in which we now find ourselves. The pastoralist class disperse the great mass of peasants who traditionally worked the land under the thumb of feudal landlords. The pastoralists supplant the feudal landlords, releasing the productivity of the land which they claim as their private property. As new forms of abstraction make it possible to produce a surplus from the land with fewer and fewer farmers, pastoralists turn them off their land, depriving them of their living. Dispossessed farmers seek work and a new home in cities. Here farmers become workers, as capital puts them to work in its factories. Capital as property gives rise to a class of capitalists who own the means of production, and a class of workers, dispossessed of it - and by it. Dispossessed farmers become workers, only to be dispossessed again. Having lost their land, they lose in turn their culture. Capital produces in its factories not just the necessities of existence, but a way of life it expects its workers to consume. Commodified life dispossess the worker of the information traditionally passed on outside the realm of private property as culture, as the gift of one generation to the next, and replaces it with information in commodified form.

14. Information, like land or capital, becomes a form of property monopolised by a class of vectoralists, so named because they control the vectors along which information is abstracted, just as capitalists control the material means with which goods are produced, and pastoralists the land with which food is produced. Information circulated within working class culture as a social property belonging to all. But when information in turn becomes a form of private property, workers are dispossessed of it, and must buy their own culture back from its owners, the vectoralist class. The whole of time, time itself, becomes a commodified experience.

15. Vectoralists try to break capital's monopoly on the production process, and subordinate the production of goods to the circulation of information. The leading corporations divest themselves of their productive capacity, as this is no longer a source of power. Their power lies in monopolising intellectual property - patents and brands - and the means of reproducing their value - the vectors of communication. The privatisation of information becomes the dominant, rather than a subsidiary, aspect of commodified life. As private property advances from land to capital to information, property itself becomes more abstract. As capital frees land from its spatial fixity, information as property frees capital from its fixity in a particular object.

16. The hacker class, producer of new abstractions, becomes more important to each successive ruling class, as each depends more and more on information as a resource. The hacker class arises out of the transformation of information into property, in the form of intellectual property, including patents, trademarks, copyright and the moral right of authors. The hacker class is the class with the capacity to create not only new kinds of object and subject in the world, not only new kinds of property form in which they may be represented, but new kinds of relation beyond the property form. The formation of the hacker class as a class comes at just this moment when freedom from necessity and from class domination appears on the horizon as a possibility.

Property

17. Property constitutes an abstract plane upon which all things may be things with one quality in common, the quality of property. Land is the primary form of property. Pastoralists acquire land as private property through the forced dispossession of peasants who once shared a portion of it in a form of public ownership. Capital is the secondary form of property, the privatisation of productive assets in the form of tools, machines and working materials. Capital, unlike land, is not in fixed supply or disposition. It can be made and remade, moved, aggregated and dispersed. An infinitely greater degree of potential can be released from the world as a productive resource once the abstract plane of property includes both land and capital - such is capital's 'advance'.

18. The capitalist class recognises the value of the hack in the abstract, whereas the pastoralists were slow to appreciate the productivity that can flow from the application of abstraction to the production process. Under the influence of capital, the state sanctions forms of intellectual property, such as patents and copyrights, that secure an independent existence for hackers as a class, and a flow of innovations in culture as well as science from which development issues. Information, once it becomes a form of property, develops beyond a mere support for capital - it becomes the basis of a form of accumulation in its own right.

19. Hackers must calculate their interests not as owners, but as producers, for this is what distinguishes them from the vectoralist class. Hackers do not merely own, and profit by owning information. They produce new information, and as producers need access to it free from the absolute domination of the commodity form. Hacking as a pure, free experimental activity must be free from any constraint that is not self imposed. Only out of its liberty will it produce the means of producing a surplus of liberty and liberty as a surplus.

20. Private property arose in opposition not only to feudal property, but also to traditional forms of the gift economy, which were a fetter to the increased productivity of the commodity economy. Qualitative, gift exchange was superseded by quantified, monetised exchange. Money is the medium through which land, capital, information and labour all confront each other as abstract entities, reduced to an abstract plane of measurement. The gift becomes a marginal form of property, everywhere invaded by the commodity, and turned towards mere consumption. The gift is marginal, but nevertheless plays a vital role in cementing reciprocal and communal relations among people who otherwise can only confront each other as buyer and sellers of commodities. As vectoral production develops, the means appear for the renewal of the gift economy. Everywhere that the vector reaches, it brings into the orbit of the commodity. But everywhere the vector reaches, it also brings with it the possibility of the gift relation.

21. The hacker class has a close affinity with the gift economy. The hacker struggles to produce a subjectivity that is qualitative and singular, in part through the act of the hack itself. The gift, as a qualitative exchange between singular parties allows each party to be recognised as a singular producer, as a subject of production, rather than as a commodified and quantified object. The gift expresses in a social and collective way the subjectivity of the production of production, whereas commodified property represents the producer as an object, a quantifiable commodity like any other, of relative value only. The gift of information need not give rise to conflict over information as property, for information need not suffer the artifice of scarcity once freed from commodification.

22. The vectoralist class contributed, unwittingly, to the development of the vectoral space within which the gift as property could return, but quickly recognised its error. As the vectoral economy develops, less and less of it takes the form of a social space of open and free gift exchange, and more and more of it takes the form of commodified production for private sale. The vectoralist class can grudgingly accommodate some margin of socialised information, as the price it pays in a democracy for the furtherance of its main interests. But the vectoralist class quite rightly sees in the gift a challenge not just to its profits but to its very existence. The gift economy is the virtual proof for the parasitic and superfluous nature of vectoralists as a class.

Vector

23. In epidemiology, a vector is the particular means by which a given pathogen travels from one population to another. Water is a vector for cholera, bodily fluids for HIV. By extension, a vector may be any means by which information moves. Telegraph, telephone, television, telecommunications: these terms name not just particular vectors, but a general abstract capacity that they bring into the world and expand. All are forms of telesthesia, or perception at a distance. A given media vector has certain fixed properties of speed, bandwidth, scope and scale, but may be deployed anywhere, at least in principle. The uneven development of the vector is political and economic, not technical.

